date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:07	76/76	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sun,%2010%20Dec%202017%2010:53:07%20GMT	http://demoqa.com/robots.txt		(from )
16:23:08	39239/39239	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2010:53:08%20GMT	http://demoqa.com/	demoqa.com/index.html	(from )
16:23:09	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2010%20Dec%202017%2010:53:08%20GMT	http://demoqa.com/xmlrpc.php	demoqa.com/xmlrpc.php	(from http://demoqa.com/)
16:23:09	1147/1147	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Sep%202016%2023:24:52%20GMT	http://demoqa.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.5	demoqa.com/wp-content/plugins/contact-form-7/includes/css/styles11b8.css	(from http://demoqa.com/)
16:23:10	55824/55824	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Sep%202014%2015:30:15%20GMT	http://demoqa.com/wp-content/plugins/pie-register/css/front.css?ver=2.0	demoqa.com/wp-content/plugins/pie-register/css/frontd5f7.css	(from http://demoqa.com/)
16:23:10	3735/3735	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Sep%202014%2015:30:15%20GMT	http://demoqa.com/wp-content/plugins/pie-register/css/validation.css?ver=2.0	demoqa.com/wp-content/plugins/pie-register/css/validationd5f7.css	(from http://demoqa.com/)
16:23:11	44787/44787	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Sep%202014%2015:30:16%20GMT	http://demoqa.com/wp-content/themes/wp-knowledge-base/style.css?ver=1.6.0	demoqa.com/wp-content/themes/wp-knowledge-base/styleaff7.css	(from http://demoqa.com/)
16:23:12	102566/102566	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Sep%202014%2015:30:15%20GMT	http://demoqa.com/wp-content/themes/wp-knowledge-base/lib/bootstrap/css/bootstrap.min.css?ver=1.6.0	demoqa.com/wp-content/themes/wp-knowledge-base/lib/bootstrap/css/bootstrap.minaff7.css	(from http://demoqa.com/)
16:23:13	684/684	---MC-	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://demoqa.com/comments/feed/	demoqa.com/comments/feed/index.html	(from http://demoqa.com/)
16:23:13	678/678	---MC-	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://demoqa.com/home/feed/	demoqa.com/home/feed/index.html	(from http://demoqa.com/)
